id_order;tanggal;jenis_barang;kategori;qty;jenis_penjualan; harga_jual ;diskon; harga_akhir ; hpp ;pendapatan;prov;negara;;tgl_jual;barang_jual;tgl_prod;barang_prod;;bulan;pend_total
Twinkle44564Santi Kumala;01/03/22;Kitchen;Chef;1;Marketplace; IDR3.779.000 ;0%; IDR3.779.000 ; IDR1.768.000 ; IDR2.011.000 ;DKI JAKARTA;INDONESIA;;01/03/22;Kitchen;Feb-22;Animals;;January; IDR10.816.100 
Twinkle44564Sheli;01/03/22;Milkee Folks;Folks;1; Marketplace; IDR429.000 ;0%; IDR429.000 ; IDR152.750 ; IDR276.250 ;DKI JAKARTA;INDONESIA;;01/03/22;Milkee Folks;Feb-22;Folks;;February; IDR6.265.200 
Twinkle44621ireneirene1122;01/03/22;Tw Apron S;Chef;1;Marketplace; IDR219.000 ;0%; IDR219.000 ; IDR102.050 ; IDR116.950 ;DKI JAKARTA;INDONESIA;;01/03/22;Tw Apron S;Feb-22;Village;;March; IDR5.419.300 
Twinkle44564Widolma;01/03/22;Wooden Broom Set Adult;Home Living;1; Marketplace; IDR449.000 ;0%; IDR449.000 ; IDR174.200 ; IDR274.800 ;BANTEN;INDONESIA;;01/03/22;Wooden Broom Set Adult;Feb-22;Chef Collection;;April; IDR11.098.985 
Twinkle44565Byhandslimited;01/04/22;Coaster;Animals;1; Manual; IDR19.000 ;25%; IDR14.250 ; IDR6.000 ; IDR8.250 ;DKI JAKARTA;INDONESIA;;01/04/22;Coaster;Feb-22;Chef Collection;;May; IDR7.768.390 
Twinkle44565Byhandslimited;01/04/22;Coaster;Home Living;1; Manual; IDR19.000 ;25%; IDR14.250 ; IDR6.000 ; IDR8.250 ;DKI JAKARTA;INDONESIA;;01/04/22;Coaster;Feb-22;Chef Collection;;June; IDR16.572.350 
Twinkle44565Catherine;01/04/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/04/22;Colored Elephant;Feb-22;Chef Collection;;July; IDR11.375.800 
Twinkle44565Catherine;01/04/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/04/22;Colored Giraffe;Feb-22;Animals;;August; IDR10.733.850 
Twinkle44565Catherine;01/04/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/04/22;Colored Lion;Feb-22;Animals;;September; IDR15.813.405 
Twinkle44565Catherine;01/05/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/05/22;Colored Elephant;Feb-22;Animals;;October; IDR20.681.500 
Twinkle44565Catherine;01/05/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/05/22;Colored Giraffe;Feb-22;Camping;;November; IDR3.323.600 
Twinkle44565Catherine;01/05/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/05/22;Colored Lion;Feb-22;Camping;;December; IDR11.220.020 
Twinkle44565Catherine;01/06/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/06/22;Colored Elephant;Feb-22;Camping;;;
Twinkle44565Catherine;01/06/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/06/22;Colored Giraffe;Feb-22;Fairy;;;
Twinkle44565Catherine;01/06/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/06/22;Colored Lion;Mar-22;Animals;;;
